trade_id,timestamp,exchange,symbol,side,quantity,price_usd,fee_usd
TRD-INV2-0001,2026-01-10T13:47:00Z,Coinbase,BTC,SELL,0.50000000,100726.80,24.01
TRD-INV2-0002,2026-01-10T21:39:00Z,Coinbase,SOL,BUY,22.8927,252.908,28.95
TRD-INV2-0003,2026-01-11T07:37:00Z,Binance,SOL,BUY,21.9411,231.593,5.08
TRD-INV2-0004,2026-01-11T12:18:00Z,Coinbase,CKB,BUY,495768,0.00652182,16.17
TRD-INV2-0005,2026-01-11T22:43:00Z,Binance,ETH,BUY,1.668436,3847.77,6.42
TRD-INV2-0006,2026-01-12T06:40:00Z,Binance,SOL,BUY,10.3293,202.613,2.09
TRD-INV2-0007,2026-01-12T11:43:00Z,Binance,ETH,BUY,0.898738,3277.74,2.95
TRD-INV2-0008,2026-01-12T15:28:00Z,Binance,BTC,BUY,0.04721310,117210.95,5.53
TRD-INV2-0009,2026-01-12T18:35:00Z,Coinbase,ETH,BUY,0.590687,4387.58,12.96
TRD-INV2-0010,2026-01-13T00:30:00Z,Binance,DOGE,BUY,15379.25,0.204569,3.15
TRD-INV2-0011,2026-01-13T04:48:00Z,Binance,CKB,BUY,610048,0.00608661,3.71
TRD-INV2-0012,2026-01-13T10:01:00Z,Coinbase,BTC,SELL,0.03081332,102848.94,15.85
TRD-INV2-0013,2026-01-13T13:50:00Z,Coinbase,SOL,SELL,10.9475,256.985,14.07
TRD-INV2-0014,2026-01-14T00:31:00Z,Binance,DOGE,SELL,8074.04,0.243881,1.97
TRD-INV2-0015,2026-01-14T10:46:00Z,Coinbase,SOL,BUY,6.0212,198.348,5.97
TRD-INV2-0016,2026-01-14T18:22:00Z,Binance,DOGE,BUY,17796.64,0.224205,3.99
TRD-INV2-0017,2026-01-14T22:25:00Z,Coinbase,SOL,BUY,6.2669,230.786,7.23
TRD-INV2-0018,2026-01-15T09:41:00Z,Binance,SOL,SELL,11.6500,224.567,2.62
TRD-INV2-0019,2026-01-15T16:48:00Z,Coinbase,DOGE,SELL,13901.88,0.219514,15.26
TRD-INV2-0020,2026-01-15T23:56:00Z,Coinbase,CKB,SELL,629803,0.00552343,17.39
TRD-INV2-0021,2026-01-16T02:58:00Z,Binance,SOL,SELL,9.0048,238.324,2.15
TRD-INV2-0022,2026-01-16T10:39:00Z,Coinbase,CKB,SELL,307152,0.00558439,8.58
TRD-INV2-0023,2026-01-16T15:49:00Z,Coinbase,SOL,BUY,17.7689,175.732,15.61
TRD-INV2-0024,2026-01-16T19:19:00Z,Coinbase,BTC,BUY,0.01898260,118726.80,11.27
TRD-INV2-0025,2026-01-17T03:44:00Z,Coinbase,SOL,SELL,23.8274,191.819,22.85
TRD-INV2-0026,2026-01-17T15:37:00Z,Coinbase,DOGE,BUY,21311.39,0.249275,26.56
TRD-INV2-0027,2026-01-17T23:19:00Z,Coinbase,SOL,SELL,16.8977,202.313,17.09
TRD-INV2-0028,2026-01-18T03:13:00Z,Binance,DOGE,SELL,13108.31,0.227192,2.98
TRD-INV2-0029,2026-01-18T09:30:00Z,Binance,SOL,BUY,24.4329,183.665,4.49
