trade_id,timestamp,exchange,symbol,side,quantity,price_usd,fee_usd
TRD-INV3-0001,2026-01-15T15:23:00Z,Coinbase,ETH,BUY,1.575544,3728.04,29.37
TRD-INV3-0002,2026-01-16T00:55:00Z,Binance,CKB,BUY,447301,0.00536809,2.40
TRD-INV3-0003,2026-01-16T12:16:00Z,Coinbase,DOGE,BUY,27478.56,0.223539,30.71
TRD-INV3-0004,2026-01-16T20:36:00Z,Binance,CKB,SELL,248759,0.00876809,2.18
TRD-INV3-0005,2026-01-17T00:11:00Z,Coinbase,ETH,BUY,1.217012,3749.82,22.82
TRD-INV3-0006,2026-01-17T11:05:00Z,Binance,DOGE,SELL,0,0.264373,4.65
TRD-INV3-0007,2026-01-17T15:30:00Z,Binance,CKB,BUY,632058,0.00591314,3.74
TRD-INV3-0008,2026-01-17T21:11:00Z,Binance,ETH,SELL,1.242124,3464.34,4.30
TRD-INV3-0009,2026-01-18T05:15:00Z,Binance,DOGE,BUY,9772.78,0.186489,1.82
TRD-INV3-0010,2026-01-18T09:18:00Z,Binance,BTC,BUY,0.01582627,106581.13,1.69
TRD-INV3-0011,2026-01-18T19:57:00Z,Coinbase,SOL,BUY,12.2702,215.608,13.23
TRD-INV3-0012,2026-01-19T06:32:00Z,Coinbase,ETH,BUY,1.171902,4379.75,25.66
TRD-INV3-0013,2026-01-19T10:11:00Z,Binance,ETH,SELL,1.745854,3233.87,5.65
TRD-INV3-0014,2026-01-19T13:24:00Z,Binance,CKB,BUY,348314,0.00540367,1.88
TRD-INV3-0015,2026-01-19T22:55:00Z,Coinbase,ETH,BUY,1.581810,3666.59,29.00
TRD-INV3-0016,2026-01-20T05:00:00Z,Binance,CKB,SELL,655500,0.00847659,5.56
TRD-INV3-0017,2026-01-20T10:44:00Z,Binance,SOL,SELL,7.8090,210.214,1.64
TRD-INV3-0018,2026-01-20T17:12:00Z,Coinbase,CKB,SELL,277083,0.00539009,7.47
TRD-INV3-0019,2026-01-21T04:32:00Z,Binance,DOGE,SELL,13701.29,0,3.51
TRD-INV3-0020,2026-01-21T09:12:00Z,Coinbase,DOGE,BUY,9080.42,0.217527,9.88
TRD-INV3-0021,2026-01-21T13:50:00Z,Coinbase,BTC,SELL,0.01007404,113135.69,5.70
TRD-INV3-0022,2026-01-22T00:28:00Z,Coinbase,SOL,BUY,22.3857,178.234,19.95
TRD-INV3-0023,2026-01-22T08:31:00Z,Binance,SOL,SELL,11.0858,187.975,2.08
TRD-INV3-0024,2026-01-22T17:11:00Z,Coinbase,BTC,BUY,0.04738937,109501.92,25.95
TRD-INV3-0025,2026-01-23T04:35:00Z,Coinbase,DOGE,SELL,9444.95,0.229697,10.85
TRD-INV3-0026,2026-01-23T14:08:00Z,Binance,DOGE,BUY,27544.26,0.233754,6.44
TRD-INV3-0027,2026-01-23T21:58:00Z,Coinbase,SOL,SELL,5.1463,206.664,5.32
TRD-INV3-0028,2026-01-24T01:06:00Z,Binance,SOL,SELL,6.4302,201.782,1.30
